Fold,Validation Accuracy,Model,Validation Positive Parity,Training Accuracy,Validation Accuracy Parity,Validation Counterfactual Invariance,Validation Recall Parity,Validation TNR Parity
2,0.9809428284854564,XGBClassifier_4,1.305431158634023,1.0,0.0075857601953115,0.9969909729187564,1.0042629939334318,0.0041655540720961
3,0.9869608826479438,XGBClassifier_4,1.2885003885003887,1.0,0.0056758775205376,1.0,1.0063492063492063,0.0063091482649841
4,0.99000999000999,XGBClassifier_4,1.462843197071385,1.0,0.0123507805325987,0.999000999000999,1.0061349693251531,0.0060975609756097
0,0.9889669007021064,RPT_XGBClassifier_4,1.3301093839953946,1.0,0.0189982728842832,0.9979939819458375,1.0134680134680134,0.0132890365448504
1,0.9839518555667,RPT_XGBClassifier_4,1.3971842908378072,1.0,0.0150520794491261,0.9989969909729188,1.003827227993439,0.003763440860215
2,0.9809428284854564,RPT_XGBClassifier_4,1.305431158634023,1.0,0.0075857601953115,0.9969909729187564,1.0042629939334318,0.0041655540720961
3,0.9869608826479438,RPT_XGBClassifier_4,1.2885003885003887,1.0,0.0056758775205376,1.0,1.0063492063492063,0.0063091482649841
4,0.99000999000999,RPT_XGBClassifier_4,1.462843197071385,1.0,0.0123507805325987,0.999000999000999,1.0061349693251531,0.0060975609756097
0,0.9829488465396188,Massage_XGBClassifier_4,1.281540301069994,0.9083166332665332,0.0046442058986373,0.9939819458375124,1.014155110426297,0.0138729487566696
1,0.9839518555667,Massage_XGBClassifier_4,1.3971842908378072,1.0,0.0150520794491261,0.9989969909729188,1.003827227993439,0.003763440860215
2,0.9809428284854564,Massage_XGBClassifier_4,1.305431158634023,1.0,0.0075857601953115,0.9969909729187564,1.0042629939334318,0.0041655540720961
3,0.9869608826479438,Massage_XGBClassifier_4,1.2885003885003887,1.0,0.0056758775205376,1.0,1.0063492063492063,0.0063091482649841
4,0.99000999000999,Massage_XGBClassifier_4,1.462843197071385,1.0,0.0123507805325987,0.999000999000999,1.0061349693251531,0.0060975609756097
0,0.9909729187562688,XGBClassifier_5,1.3301093839953946,1.0,0.0155440414507772,0.9979939819458375,1.0100671140939597,0.0099667774086378
1,0.9849548645937812,XGBClassifier_5,1.3925731215611148,1.0,0.0133368135829169,0.9989969909729188,1.003827227993439,0.003763440860215
2,0.9799398194583752,XGBClassifier_5,1.324800910125142,1.0,0.0010130955050114,0.9989969909729188,1.0193736290069864,0.0187093902981753
3,0.9859578736208626,XGBClassifier_5,1.2844988344988346,1.0,0.0073852792299394,0.9989969909729188,1.0095541401273886,0.0094637223974763
4,0.991008991008991,XGBClassifier_5,1.458450274557657,1.0,0.0106978879706153,0.998001998001998,1.0061349693251531,0.0060975609756097
0,0.9909729187562688,RPT_XGBClassifier_5,1.3301093839953946,1.0,0.0155440414507772,0.9979939819458375,1.0100671140939597,0.0099667774086378
1,0.9849548645937812,RPT_XGBClassifier_5,1.3925731215611148,1.0,0.0133368135829169,0.9989969909729188,1.003827227993439,0.003763440860215
2,0.9799398194583752,RPT_XGBClassifier_5,1.324800910125142,1.0,0.0010130955050114,0.9989969909729188,1.0193736290069864,0.0187093902981753
3,0.9859578736208626,RPT_XGBClassifier_5,1.2844988344988346,1.0,0.0073852792299394,0.9989969909729188,1.0095541401273886,0.0094637223974763
4,0.991008991008991,RPT_XGBClassifier_5,1.458450274557657,1.0,0.0106978879706153,0.998001998001998,1.0061349693251531,0.0060975609756097
0,0.9769307923771314,Massage_XGBClassifier_5,1.307171107091394,0.9085671342685372,0.0150069001991555,0.9949849548645938,1.014155110426297,0.0138729487566696
1,0.9849548645937812,Massage_XGBClassifier_5,1.3925731215611148,1.0,0.0133368135829169,0.9989969909729188,1.003827227993439,0.003763440860215
2,0.9799398194583752,Massage_XGBClassifier_5,1.324800910125142,1.0,0.0010130955050114,0.9989969909729188,1.0193736290069864,0.0187093902981753
3,0.9859578736208626,Massage_XGBClassifier_5,1.2844988344988346,1.0,0.0073852792299394,0.9989969909729188,1.0095541401273886,0.0094637223974763
4,0.991008991008991,Massage_XGBClassifier_5,1.458450274557657,1.0,0.0106978879706153,0.998001998001998,1.0061349693251531,0.0060975609756097
0,0.9719157472417252,GaussianNB_6,1.3916807124872546,0.9654308617234468,0.0112840981398385,0.9989969909729188,1.0248447204968945,0.0242424242424242
1,0.9598796389167502,GaussianNB_6,1.4424313893653515,0.970440881763527,0.0314341114177045,1.0,1.0029411764705882,0.0029032258064516
2,0.9658976930792376,GaussianNB_6,1.3318058058825786,0.9666833667334668,0.0124851564900393,0.9979939819458375,1.0138274033994643,0.0135113484646195
3,0.966900702106319,GaussianNB_6,1.2847187001033151,0.9679358717434868,0.0150443946560451,0.9989969909729188,1.012779552715655,0.0126182965299684
4,0.972027972027972,GaussianNB_6,1.4727272727272729,0.9663991975927784,0.0044995408631771,1.0,1.014465937762826,0.0141727092946605
0,0.9729187562688064,RPT_GaussianNB_6,1.3833472950472114,0.9666833667334668,0.0136764426374461,0.9979939819458375,1.0185185185185186,0.0181818181818181
1,0.9598796389167502,RPT_GaussianNB_6,1.4424313893653515,0.970691382765531,0.0314341114177045,1.0,1.0029411764705882,0.0029032258064516
2,0.9679037111334002,RPT_GaussianNB_6,1.3170079635949945,0.968687374749499,0.0173513365387011,0.9949849548645938,1.0021068553832857,0.002082777036048
3,0.966900702106319,RPT_GaussianNB_6,1.2738498902433328,0.969939879759519,0.010907808480624,0.9949849548645938,1.012779552715655,0.0126182965299684
4,0.973026973026973,RPT_GaussianNB_6,1.4493506493506492,0.96765295887663,0.0112029384756657,0.995004995004995,1.0024116424116425,0.0023895847066578
0,0.921765295887663,Massage_GaussianNB_6,1.5179132899340153,0.9253507014028056,0.009466081595888,0.9929789368104311,1.1231791464349603,0.1067552602436323
1,0.9598796389167502,Massage_GaussianNB_6,1.4424313893653515,0.970440881763527,0.0314341114177045,1.0,1.0029411764705882,0.0029032258064516
2,0.9658976930792376,Massage_GaussianNB_6,1.3318058058825786,0.9666833667334668,0.0124851564900393,0.9979939819458375,1.0138274033994643,0.0135113484646195
3,0.966900702106319,Massage_GaussianNB_6,1.2847187001033151,0.9679358717434868,0.0150443946560451,0.9989969909729188,1.012779552715655,0.0126182965299684
4,0.972027972027972,Massage_GaussianNB_6,1.4727272727272729,0.9663991975927784,0.0044995408631771,1.0,1.014465937762826,0.0141727092946605
0,0.9067201604814444,MLPClassifier_7,1.223082985394973,0.9030561122244488,0.016515027559478,0.9989969909729188,1.0027550441617372,0.0027383469243934
1,0.9699097291875628,MLPClassifier_7,1.334164977389677,0.9852204408817636,0.0101507279522046,0.9989969909729188,1.0169491525423728,0.0166666666666667
